#1_edge   2_ddg  3_ddg_err  4_ddg_aerr
#all values in kJ/mol
edge_17124-1_18634-1  0.58  0.12  0.13
edge_18626-1_18624-1  0.56  0.10  0.09
edge_18636-1_18625-1  0.25  0.39  0.39
edge_18632-1_18624-1  0.38  0.06  0.06
edge_18635-1_18625-1  0.57  0.06  0.05
edge_18626-1_18658-1  -2.51  0.11  0.11
edge_18639-1_18658-1  -0.61  0.45  0.44
edge_18626-1_18625-1  -0.03  0.11  0.11
edge_18638-1_18658-1  0.43  0.11  0.15
edge_18628-1_18624-1  0.34  0.09  0.09
edge_18631-1_18660-1  0.99  0.17  0.23
edge_18638-1_18634-1  -0.60  0.27  0.27
edge_18626-1_18632-1  -0.69  0.06  0.05
edge_18626-1_18630-1  0.57  0.09  0.10
edge_18631-1_18624-1  1.13  0.12  0.12
edge_18629-1_18627-1  -0.48  0.10  0.11
edge_18634-1_18637-1  -0.51  0.10  0.11
edge_18626-1_18627-1  0.14  0.05  0.06
edge_18631-1_18652-1  -1.04  0.42  0.43
edge_18637-1_18631-1  1.62  0.11  0.11
edge_18626-1_18634-1  -1.78  0.30  0.31
edge_18633-1_18624-1  0.73  0.04  0.05
edge_17124-1_18631-1  1.19  0.10  0.09
edge_18627-1_18630-1  0.35  0.06  0.06
edge_18659-1_18634-1  -0.05  0.10  0.09
edge_18636-1_18624-1  1.48  0.20  0.20
edge_18626-1_18628-1  0.53  0.12  0.12
edge_18626-1_18660-1  -1.53  0.61  0.63
edge_18626-1_18659-1  -1.04  0.31  0.31
edge_18639-1_18634-1  1.08  0.08  0.09
edge_18635-1_18624-1  0.89  0.13  0.14
